Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth																		2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	1.650
2	Mineral bone																4.33	15.81	4.45	50.25	0.00	0.29	8.18	0.30	0.01	0.01	16.36	0.00	0.00	1.660
3	Humeri, upper half, spongiosa												6.69	22.58	3.97	50.92	0.05	0.23	5.11	0.26	0.04	0.04	10.09	0.04	0.00	1.364
4	Humeri, lower half, spongiosa												10.50	37.12	3.24	48.31	0.11	0.15	0.19	0.20	0.05	0.04	0.00	0.09	0.00	1.364
5	Ulnae and radii, spongiosa													10.51	37.38	3.21	48.07	0.11	0.15	0.19	0.20	0.05	0.04	0.00	0.09	0.00	1.414
6	Wrists and hand bones, spongiosa											10.53	37.89	3.16	47.61	0.11	0.15	0.19	0.20	0.05	0.04	0.00	0.08	0.00	1.281
7	Clavicles, spongiosa														8.67	29.83	3.63	49.89	0.08	0.19	2.54	0.24	0.04	0.04	4.80	0.06	0.00	1.295
8	Cranium, spongiosa															6.14	20.22	4.11	51.61	0.04	0.24	5.80	0.27	0.04	0.04	11.47	0.03	0.00	1.435
9	Femora upper half, spongiosa												6.73	22.35	4.01	51.32	0.05	0.23	5.03	0.26	0.04	0.04	9.91	0.04	0.00	1.344
10	Femora lower half, spongiosa												6.50	21.85	4.01	51.08	0.05	0.23	5.35	0.26	0.04	0.04	10.56	0.03	0.00	1.306
11	Tibiae, fibulae, and patellae, spongiosa									6.45	22.04	3.98	50.73	0.04	0.23	5.44	0.27	0.04	0.04	10.74	0.03	0.00	1.341
12	Ankles and foot bones, spongiosa											7.08	24.16	3.89	50.58	0.05	0.22	4.61	0.25	0.04	0.04	9.05	0.04	0.00	1.273
13	Mandible, spongiosa															6.31	20.84	4.08	51.50	0.04	0.24	5.59	0.27	0.04	0.04	11.04	0.03	0.00	1.415
14	Pelvis, spongiosa															7.54	25.53	3.85	50.66	0.06	0.21	3.99	0.25	0.04	0.04	7.79	0.05	0.00	1.214
15	Ribs, spongiosa																7.80	26.53	3.79	50.48	0.06	0.21	3.65	0.24	0.04	0.04	7.09	0.05	0.00	1.251
16	Scapulae, spongiosa															8.22	28.12	3.71	50.19	0.07	0.20	3.12	0.24	0.04	0.04	5.99	0.06	0.00	1.287
17	Cervical spine, spongiosa													7.79	26.48	3.79	50.49	0.06	0.21	3.67	0.24	0.04	0.04	7.13	0.05	0.00	1.210
18	Thoracic spine, spongiosa													7.44	25.14	3.87	50.73	0.06	0.22	4.13	0.25	0.04	0.04	8.06	0.05	0.00	1.169
19	Lumbar spine, spongiosa														7.36	24.85	3.87	50.78	0.06	0.22	4.23	0.25	0.04	0.04	8.26	0.05	0.00	1.274
20	Scarum, spongiosa															8.17	27.95	3.72	50.23	0.07	0.20	3.17	0.24	0.04	0.04	6.11	0.06	0.00	1.276
21	Sternum, spongiosa															7.56	25.61	3.84	50.65	0.06	0.21	3.97	0.24	0.04	0.04	7.73	0.05	0.00	1.249
22	Humeri and femora, upper half, medullary cavity								6.73	22.77	3.96	50.88	0.05	0.23	5.06	0.26	0.04	0.04	9.96	0.04	0.00	1.027
23	Humeri and femora, lower half, medullary cavity								7.55	28.95	3.44	47.11	0.05	0.18	4.19	0.24	0.04	0.04	8.20	0.03	0.00	1.026
24	Ulnae and radii, medullary cavity											10.52	37.65	3.19	47.83	0.11	0.15	0.19	0.20	0.05	0.04	0.00	0.08	0.00	1.025
25	Tibiae, fibulae, and patellae, medullary cavity								7.33	25.16	3.83	50.35	0.06	0.21	4.29	0.25	0.04	0.04	8.40	0.04	0.00	1.025
26	Cartilage																	9.64	9.98	2.28	74.41	0.47	0.00	2.05	0.85	0.30	0.01	0.00	0.01	0.00	1.100
27	Skin																		10.01	20.03	4.16	64.90	0.20	0.00	0.10	0.20	0.30	0.10	0.00	0.00	0.00	1.100
28	Blood vessels																10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.060
29	Oral mucosa																	10.20	14.26	3.40	71.04	0.10	0.00	0.20	0.30	0.10	0.40	0.00	0.00	0.00	1.030
30	Liver																		10.28	16.88	2.91	68.77	0.18	0.00	0.18	0.28	0.22	0.28	0.00	0.02	0.00	1.050
31	Pancreas																	10.53	15.93	2.38	70.24	0.18	0.00	0.18	0.12	0.22	0.20	0.00	0.02	0.00	1.030
32	Brain																		10.68	14.37	2.24	71.32	0.20	0.00	0.39	0.20	0.30	0.30	0.00	0.00	0.00	1.030
33	Heart wall																	10.38	13.54	2.95	72.14	0.10	0.00	0.19	0.20	0.21	0.29	0.00	0.01	0.00	1.040
34	Eye lens and bulb															9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue																10.28	12.84	3.05	72.75	0.18	0.00	0.18	0.20	0.22	0.20	0.08	0.02	0.00	1.040
36	Stomach wall																10.52	11.40	2.42	74.98	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
37	Small intestine wall														10.52	11.39	2.43	74.97	0.10	0.00	0.10	0.12	0.22	0.12	0.00	0.02	0.00	1.030
