1-year male reference values for regional blood distribution (% total blood volume)
Fat								9.32
Brain							6.97
Stomach & Esophagus Wall		1.00
Small Intestine Wall			3.77
Colon Wall						2.26
Right Heart Contents			3.21
Left Heart Contents				3.21
Coronary Tissues				1.16
Kidneys							2.31
Liver							14.04
Lungs	
  Pulmonary Gas Exchange Blood	8.22
  Pulmonary Nutrient Blood		1.58
Skeletal Muscle					7.03
Pancreas						0.65
Skeletal Tissues	
    Active Marrow				3.89
    Trabecular Bone				5.34
    Cortical Bone				1.93
    Other Skeletal Tissues		0.68
Skin							2.41
Spleen							2.05
Thyroid							0.04
Lymphatic Nodes					0.21
Testes or Ovaries				0.01
Adrenal Glands					0.13
Urinary Bladder Wall			0.03
All Other Tissues				1.38
Aorta and Large Arteries		4.29
Large Veins						12.88
