Newborn female reference values for regional blood distribution (% total blood volume)
Fat								5.78
Brain							5.57
Stomach & Esophagus Wall		0.78
Small Intestine Wall			2.88
Colon Wall						1.57
Right Heart Contents			4.74
Left Heart Contents				4.74
Coronary Tissues				1.22
Kidneys							1.87
Liver							14.33
Lungs	
  Pulmonary Gas Exchange Blood	5.59
  Pulmonary Nutrient Blood		1.04
Skeletal Muscle					7.33
Pancreas						0.45
Skeletal Tissues	
    Active Marrow				3.36
    Trabecular Bone				4.30
    Cortical Bone				1.53
    Other Skeletal Tissues		0.64
Skin							3.46
Spleen							1.58
Thyroid							0.07
Lymphatic Nodes					0.17
Testes or Ovaries				0.01
Adrenal Glands					0.42
Urinary Bladder Wall			0.03
All Other Tissues				1.29
Aorta and Large Arteries		6.31
Large Veins						18.93
