Newborn male reference values for regional blood distribution (% total blood volume)
Fat								5.73
Brain							6.42
Stomach & Esophagus Wall		0.92
Small Intestine Wall			3.41
Colon Wall						1.97
Right Heart Contents			4.42
Left Heart Contents				4.42
Coronary Tissues				1.19
Kidneys							2.13
Liver							14.31
Lungs	
  Pulmonary Gas Exchange Blood	5.52
  Pulmonary Nutrient Blood		1.06
Skeletal Muscle					7.58
Pancreas						0.50
Skeletal Tissues	
    Active Marrow				3.32
    Trabecular Bone				4.02
    Cortical Bone				1.43
    Other Skeletal Tissues		0.61
Skin							3.09
Spleen							1.76
Thyroid							0.08
Lymphatic Nodes					0.19
Testes or Ovaries				0.02
Adrenal Glands					0.50
Urinary Bladder Wall			0.03
All Other Tissues				1.52
Aorta and Large Arteries		5.97
Large Veins						17.90
