Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth													                  	2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	1.650
2	Mineral bone											                  	4.53	15.83	4.47	51.44	0.01	0.28	7.55	0.29	0.01	0.01	15.56	0.01	0.00	1.650
3	Humeri, upper half, spongiosa							                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.307
4	Humeri, lower half, spongiosa							                  	10.39	34.05	3.50	51.19	0.11	0.15	0.19	0.21	0.05	0.06	0.00	0.09	0.00	1.307
5	Ulnae and radii, spongiosa								                  	10.39	34.05	3.50	51.19	0.11	0.15	0.19	0.21	0.05	0.06	0.00	0.09	0.00	1.307
6	Wrists and hand bones, spongiosa						                  	10.39	34.05	3.50	51.19	0.11	0.15	0.19	0.21	0.05	0.06	0.00	0.09	0.00	1.244
7	Clavicles, spongiosa									                  	6.95	21.76	4.09	53.00	0.06	0.22	4.48	0.26	0.04	0.05	9.07	0.04	0.00	1.257
8	Cranium, spongiosa										                  	6.29	19.39	4.19	53.36	0.04	0.23	5.31	0.27	0.04	0.04	10.82	0.03	0.00	1.433
9	Femora upper half, spongiosa							                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.307
10	Femora lower half, spongiosa							                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.307
11	Tibiae, fibulae, and patellae, spongiosa				                  	7.58	24.03	3.98	52.66	0.06	0.20	3.69	0.25	0.04	0.05	7.40	0.05	0.00	1.306
12	Ankles and foot bones, spongiosa						                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.244
13	Mandible, spongiosa										                  	7.93	25.30	3.91	52.47	0.07	0.20	3.25	0.24	0.05	0.05	6.47	0.06	0.00	1.244
14	Pelvis, spongiosa										                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.257
15	Ribs, spongiosa											                  	7.92	25.24	3.92	52.48	0.07	0.20	3.27	0.25	0.05	0.05	6.51	0.05	0.00	1.244
16	Scapulae, spongiosa										                  	7.06	22.16	4.06	52.94	0.06	0.21	4.34	0.26	0.04	0.05	8.77	0.04	0.00	1.257
17	Cervical spine, spongiosa								                  	7.93	25.30	3.91	52.47	0.07	0.20	3.25	0.24	0.05	0.05	6.47	0.06	0.00	1.338
18	Thoracic spine, spongiosa								                  	7.81	24.84	3.94	52.54	0.07	0.20	3.42	0.25	0.05	0.05	6.81	0.05	0.00	1.351
19	Lumbar spine, spongiosa									                  	7.81	24.84	3.94	52.54	0.07	0.20	3.42	0.25	0.05	0.05	6.81	0.05	0.00	1.307
20	Scarum, spongiosa										                  	7.81	24.84	3.94	52.54	0.07	0.20	3.42	0.25	0.05	0.05	6.81	0.05	0.00	1.307
21	Sternum, spongiosa										                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.245
22	Humeri and femora, upper half, medullary cavity			                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.030
23	Humeri and femora, lower half, medullary cavity			                  	7.93	25.30	3.91	52.47	0.07	0.20	3.25	0.24	0.05	0.05	6.47	0.06	0.00	1.030
24	Ulnae and radii, medullary cavity						                  	10.39	34.05	3.50	51.19	0.11	0.15	0.19	0.21	0.05	0.06	0.00	0.09	0.00	1.030
25	Tibiae, fibulae, and patellae, medullary cavity			                  	7.34	23.15	4.02	52.79	0.06	0.21	4.00	0.26	0.04	0.05	8.05	0.04	0.00	1.030
26	Cartilage												                  	9.61	9.94	2.22	74.37	0.49	0.00	2.17	0.89	0.30	0.00	0.00	0.00	0.00	1.100
27	Skin													                  	10.38	10.56	2.87	75.29	0.19	0.00	0.10	0.20	0.29	0.11	0.00	0.01	0.00	1.100
28	Blood vessels											                  	10.20	11.00	3.30	74.50	0.10	0.00	0.10	0.20	0.30	0.20	0.00	0.10	0.00	1.070
29	Oral mucosa												                  	10.39	10.35	2.43	76.13	0.10	0.00	0.10	0.10	0.20	0.20	0.00	0.00	0.00	1.030
30	Liver													                  	10.20	12.76	3.12	72.88	0.10	0.00	0.24	0.20	0.20	0.27	0.00	0.03	0.00	1.040
31	Pancreas												                  	10.46	16.03	2.61	70.00	0.18	0.00	0.18	0.12	0.20	0.20	0.00	0.02	0.00	1.030
32	Brain													                  	10.76	5.91	1.26	81.08	0.19	0.00	0.29	0.11	0.20	0.20	0.00	0.01	0.00	1.030
33	Heart wall												                  	10.50	8.48	2.18	78.02	0.18	0.00	0.10	0.12	0.20	0.20	0.00	0.02	0.00	1.040
34	Eye lens and bulb										                  	9.60	19.50	5.70	64.60	0.10	0.00	0.10	0.30	0.10	0.00	0.00	0.00	0.00	1.050
35	Kidney tissue											                  	10.54	7.96	2.16	78.45	0.18	0.00	0.18	0.12	0.20	0.20	0.08	0.02	0.00	1.030
36	Stomach wall											                  	10.44	11.94	2.69	74.25	0.10	0.00	0.10	0.13	0.20	0.13	0.00	0.03	0.00	1.030
37	Small intestine wall									                  	10.42	11.99	2.75	74.16	0.10	0.00	0.10	0.13	0.20	0.13	0.00	0.03	0.00	1.030
38	Colon wall and rectum									                  	10.42	11.98	2.74	74.16	0.10	0.00	0.10	0.13	0.20	0.13	0.00	0.03	0.00	1.030
39	Spleen													                  	10.25	10.89	3.21	74.75	0.15	0.00	0.15	0.15	0.20	0.20	0.00	0.05	0.00	1.040
40	Thyroid													                  	10.34	12.09	2.66	74.09	0.18	0.00	0.10	0.12	0.20	0.12	0.00	0.02	0.08	1.050
41	Urindary bladder wall									                  	10.49	9.68	2.63	76.01	0.20	0.00	0.20	0.20	0.30	0.30	0.00	0.00	0.00	1.040
42	Testes													                  	10.56	16.09	2.13	71.06	0.01	0.00	0.01	0.11	0.01	0.01	0.00	0.01	0.00	1.050
43	Adrenal glands											                  	10.47	15.59	2.44	71.22	0.02	0.00	0.02	0.12	0.04	0.04	0.00	0.02	0.00	1.030
44	Oesophagus wall											                    10.44	15.42	2.55	71.27	0.03	0.00	0.03	0.13	0.05	0.05	0.00	0.03	0.00	1.030
45	Generic soft tissue (several organs)					                    10.54	15.96	2.21	71.11	0.01	0.00	0.01	0.11	0.02	0.02	0.00	0.01	0.00	1.030
46	Prostate												                  	10.53	15.93	2.23	71.12	0.01	0.00	0.01	0.11	0.02	0.02	0.00	0.01	0.00	1.030
47	Lymphatic nodes											                  	10.57	16.13	2.10	71.05	0.01	0.00	0.01	0.11	0.01	0.01	0.00	0.01	0.00	1.030
48	Breast glandular tissue									                  	10.97	27.77	1.26	59.62	0.10	0.00	0.10	0.11	0.02	0.02	0.00	0.01	0.00	1.020
49	Adipose tissue											                  	11.08	29.39	0.96	58.26	0.10	0.00	0.10	0.10	0.00	0.00	0.00	0.00	0.00	0.990
50	Lungs tissue											                  	10.41	9.35	2.50	76.90	0.17	0.00	0.17	0.13	0.20	0.13	0.00	0.03	0.00	0.591
51	Stomach contents										             		10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
52	Small intestine contents								                    10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
53	Right colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
54	Left colon contents															10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	0.650
55	Sigmoid colon contents														10.00	22.20	2.20	64.40	0.10	0.00	0.20	0.30	0.10	0.40	0.10	0.00	0.00	1.030
56	Urine													                  	10.70	0.30	1.00	87.30	0.40	0.00	0.10	0.00	0.00	0.20	0.00	0.00	0.00	1.010
57	Air inside the body										                  	0.00	0.00	80.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.001

