5-year female reference values for regional blood distribution (% total blood volume)
Fat								6.04
Brain							4.18
Stomach & Esophagus Wall		0.94
Small Intestine Wall			3.80
Colon Wall						2.00
Right Heart Contents			4.48
Left Heart Contents				4.48
Coronary Tissues				0.94
Kidneys							2.20
Liver							11.21
Lungs	
  Pulmonary Gas Exchange Blood	7.89
  Pulmonary Nutrient Blood		1.50
Skeletal Muscle					9.25
Pancreas						0.47
Skeletal Tissues	
    Active Marrow				4.12
    Trabecular Bone				5.03
    Cortical Bone				1.85
    Other Skeletal Tissues		0.66
Skin							2.03
Spleen							1.47
Thyroid							0.03
Lymphatic Nodes					0.17
Testes or Ovaries				0.01
Adrenal Glands					0.06
Urinary Bladder Wall			0.02
All Other Tissues				1.40
Aorta and Large Arteries		5.94
Large Veins						17.82
