Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth																		2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	1.650
2	Mineral bone																4.22	15.82	4.46	47.90	0.10	0.19	8.68	0.30	0.01	0.01	18.31	0.00	0.00	1.700
3	Humeri, upper half, spongiosa												8.59	33.92	3.14	44.71	0.10	0.12	2.99	0.21	0.05	0.03	6.09	0.05	0.00	1.295
4	Humeri, lower half, spongiosa												10.65	41.18	2.84	44.58	0.10	0.13	0.17	0.18	0.05	0.04	0.00	0.07	0.00	1.281
5	Ulnae and radii, spongiosa													10.71	42.56	2.70	43.32	0.10	0.12	0.16	0.18	0.05	0.03	0.00	0.07	0.00	1.261
6	Wrists and hand bones, spongiosa											10.81	45.14	2.43	40.96	0.10	0.10	0.15	0.16	0.04	0.03	0.00	0.06	0.00	1.229
7	Clavicles, spongiosa														8.70	30.93	3.48	48.28	0.10	0.15	2.65	0.23	0.05	0.04	5.33	0.06	0.00	1.233
8	Cranium, spongiosa															6.88	23.67	3.85	49.26	0.10	0.16	5.10	0.25	0.05	0.04	10.60	0.04	0.00	1.374
9	Femora upper half, spongiosa												7.53	26.62	3.69	48.56	0.10	0.16	4.23	0.24	0.05	0.04	8.74	0.04	0.00	1.294
10	Femora lower half, spongiosa												7.88	30.31	3.37	45.92	0.10	0.13	3.90	0.23	0.05	0.03	8.04	0.04	0.00	1.256
11	Tibiae, fibulae, and patellae, spongiosa									7.74	29.96	3.37	45.75	0.10	0.13	4.11	0.23	0.05	0.03	8.50	0.03	0.00	1.213
12	Ankles and foot bones, spongiosa											8.85	35.41	3.05	44.10	0.10	0.12	2.65	0.21	0.04	0.03	5.37	0.05	0.00	1.243
13	Mandible, spongiosa															7.18	24.97	3.78	48.98	0.10	0.16	4.71	0.25	0.05	0.04	9.76	0.04	0.00	1.338
