Media ID																		H1	    C6	    N7	    O8	    Na11	Mg12	P15	    S16	    Cl17	K19		Ca20	Fe26	I53		Density (g/cm3)
1	Teeth													                  	2.20	9.50	2.90	42.10	0.00	0.70	13.70	0.00	0.00	0.00	28.90	0.00	0.00	2.330
2	Mineral bone											                  	4.06	15.87	4.37	46.34	0.10	0.19	9.26	0.30	0.01	0.01	19.49	0.00	0.00	1.750
3	Humeri, upper half, spongiosa							                  	9.12	41.35	2.42	38.51	0.10	0.08	2.68	0.18	0.04	0.03	5.46	0.03	0.00	1.226
4	Humeri, lower half, spongiosa							                  	10.89	47.70	2.24	38.56	0.10	0.09	0.15	0.16	0.04	0.03	0.00	0.05	0.00	1.196
5	Ulnae and radii, spongiosa								                  	10.98	49.89	2.01	36.55	0.10	0.08	0.15	0.15	0.03	0.03	0.00	0.05	0.00	1.212
6	Wrists and hand bones, spongiosa						                  	11.16	54.68	1.53	32.15	0.10	0.05	0.13	0.13	0.03	0.02	0.00	0.02	0.00	1.135
7	Clavicles, spongiosa									                  	9.42	35.02	3.22	46.43	0.10	0.14	1.81	0.21	0.05	0.04	3.51	0.07	0.00	1.135
8	Cranium, spongiosa										                  	7.68	28.19	3.47	47.01	0.10	0.14	4.26	0.23	0.05	0.04	8.79	0.04	0.00	1.294
9	Femora upper half, spongiosa							                  	8.27	30.71	3.36	46.59	0.10	0.14	3.44	0.23	0.05	0.04	7.03	0.05	0.00	1.236
10	Femora lower half, spongiosa							                  	8.51	37.31	2.69	40.45	0.10	0.10	3.46	0.20	0.04	0.03	7.10	0.02	0.00	1.210
11	Tibiae, fibulae, and patellae, spongiosa				                  	8.47	37.25	2.69	40.35	0.10	0.10	3.52	0.20	0.04	0.03	7.23	0.02	0.00	1.148
12	Ankles and foot bones, spongiosa						                  	9.28	42.41	2.35	38.00	0.10	0.08	2.48	0.18	0.04	0.03	5.03	0.03	0.00	1.153
13	Mandible, spongiosa										                  	7.98	29.76	3.39	46.50	0.10	0.14	3.86	0.23	0.05	0.04	7.93	0.04	0.00	1.258
14	Pelvis, spongiosa										                  	9.90	38.55	2.97	44.50	0.10	0.13	1.23	0.19	0.05	0.03	2.28	0.06	0.00	1.124
15	Ribs, spongiosa											                  	9.77	36.65	3.14	46.04	0.10	0.14	1.33	0.20	0.05	0.04	2.48	0.07	0.00	1.135
16	Scapulae, spongiosa										                  	9.03	33.18	3.31	46.87	0.10	0.15	2.34	0.22	0.05	0.04	4.66	0.07	0.00	1.177
17	Cervical spine, spongiosa								                  	9.19	33.94	3.27	46.69	0.10	0.15	2.12	0.21	0.05	0.04	4.19	0.07	0.00	1.150
18	Thoracic spine, spongiosa								                  	8.74	33.69	3.17	45.23	0.10	0.13	2.85	0.21	0.05	0.04	5.76	0.05	0.00	1.114
19	Lumbar spine, spongiosa									                  	9.19	36.27	3.01	44.19	0.10	0.12	2.27	0.20	0.05	0.03	4.51	0.06	0.00	1.160
20	Scarum, spongiosa										                  	9.30	35.63	3.12	45.34	0.10	0.13	2.03	0.21	0.05	0.03	4.00	0.06	0.00	1.075
21	Sternum, spongiosa										                  	8.93	32.72	3.33	46.98	0.10	0.15	2.48	0.22	0.05	0.04	4.95	0.07	0.00	1.085
22	Humeri and femora, upper half, medullary cavity			                  	9.14	41.47	2.41	38.45	0.10	0.08	2.67	0.18	0.04	0.03	5.41	0.03	0.00	1.005
23	Humeri and femora, lower half, medullary cavity			                  	8.99	43.51	2.15	35.70	0.10	0.06	3.03	0.17	0.03	0.03	6.22	0.01	0.00	1.004
24	Ulnae and radii, medullary cavity						                  	11.02	51.15	1.88	35.39	0.10	0.07	0.14	0.15	0.03	0.02	0.00	0.04	0.00	0.992
