10-year male reference values for regional blood distribution (% total blood volume)
Fat								5.35
Brain							3.25
Stomach & Esophagus Wall		1.13
Small Intestine Wall			4.53
Colon Wall						2.61
Right Heart Contents			4.25
Left Heart Contents				4.25
Coronary Tissues				0.90
Kidneys							2.45
Liver							9.74
Lungs	
  Pulmonary Gas Exchange Blood	9.15
  Pulmonary Nutrient Blood		1.73
Skeletal Muscle					11.22
Pancreas						0.54
Skeletal Tissues	
    Active Marrow				4.51
    Trabecular Bone				4.56
    Cortical Bone				1.67
    Other Skeletal Tissues		0.79
Skin							1.56
Spleen							1.56
Thyroid							0.05
Lymphatic Nodes					0.18
Testes or Ovaries				0.00
Adrenal Glands					0.06
Urinary Bladder Wall			0.02
All Other Tissues				1.60
Aorta and Large Arteries		5.59
Large Veins						16.76
