10-year female reference values for regional blood distribution (% total blood volume)
Fat								5.43
Brain							2.47
Stomach & Esophagus Wall		0.96
Small Intestine Wall			3.83
Colon Wall						2.10
Right Heart Contents			4.57
Left Heart Contents				4.57
Coronary Tissues				0.92
Kidneys							2.16
Liver							9.79
Lungs	
  Pulmonary Gas Exchange Blood	9.31
  Pulmonary Nutrient Blood		1.72
Skeletal Muscle					10.90
Pancreas						0.49
Skeletal Tissues	
    Active Marrow				4.58
    Trabecular Bone				4.90
    Cortical Bone				1.80
    Other Skeletal Tissues		0.82
Skin							1.75
Spleen							1.41
Thyroid							0.05
Lymphatic Nodes					0.17
Testes or Ovaries				0.01
Adrenal Glands					0.05
Urinary Bladder Wall			0.02
All Other Tissues				1.48
Aorta and Large Arteries		5.93
Large Veins						17.80
