15-year female reference values for regional blood distribution (% total blood volume)
Fat								7.68
Brain							1.47
Stomach & Esophagus Wall		0.93
Small Intestine Wall			3.57
Colon Wall						1.99
Right Heart Contents			4.22
Left Heart Contents				4.22
Coronary Tissues				0.96
Kidneys							1.91
Liver							10.16
Lungs	
  Pulmonary Gas Exchange Blood	9.85
  Pulmonary Nutrient Blood		1.88
Skeletal Muscle					11.16
Pancreas						0.54
Skeletal Tissues	
    Active Marrow				4.82
    Trabecular Bone				4.70
    Cortical Bone				1.61
    Other Skeletal Tissues		0.92
Skin							2.40
Spleen							1.52
Thyroid							0.05
Lymphatic Nodes					0.19
Testes or Ovaries				0.01
Adrenal Glands					0.05
Urinary Bladder Wall			0.02
All Other Tissues				1.17
Aorta and Large Arteries		5.51
Large Veins						16.52
