5-year male reference values for regional blood distribution (% total blood volume)
Fat								5.94
Brain							5.31
Stomach & Esophagus Wall		1.10
Small Intestine Wall			4.48
Colon Wall						2.48
Right Heart Contents			4.15
Left Heart Contents				4.15
Coronary Tissues				0.91
Kidneys							2.49
Liver							11.13
Lungs	
  Pulmonary Gas Exchange Blood	7.73
  Pulmonary Nutrient Blood		1.51
Skeletal Muscle					9.50
Pancreas						0.52
Skeletal Tissues	
    Active Marrow				4.05
    Trabecular Bone				4.67
    Cortical Bone				1.72
    Other Skeletal Tissues		0.63
Skin							1.80
Spleen							1.62
Thyroid							0.04
Lymphatic Nodes					0.18
Testes or Ovaries				0.01
Adrenal Glands					0.07
Urinary Bladder Wall			0.02
All Other Tissues				1.47
Aorta and Large Arteries		5.58
Large Veins						16.73
